Date,Line Id,Name,AFC Revenue,Famoco Revenue,NCMC Revenue,WQR Revenue,QR Online Revenue,QR Paper Revenue,QR Static Revenue,Total Revenue
01-06-2023,1,0-01ED-WIMCO NAGAR DEPOT,133757,1270,48,568,2000,43410,1320,182373
01-06-2023,1,0-01EF-WIMCO NAGAR METRO,148461,2730,96,792,3256,47840,624,203799
01-06-2023,1,0-01F1-THIRUVOTRIYUR METRO,156945,500,80,280,1952,37160,528,197445
01-06-2023,1,0-01F3-THIRUVOTRIYUR THERADI METRO,142679,0,48,720,3296,61500,1112,209355
01-06-2023,1,0-01F5-KALADIPET METRO,144330,200,48,232,1728,37400,448,184386
01-06-2023,1,0-01F7-TOLLGATE METRO,93015,550,72,408,1408,25346,384,121183
01-06-2023,1,0-01F9-NEW WASHERMENPET METRO,136356,250,0,328,928,38340,408,176610
01-06-2023,1,0-01FB-TONDIARPET METRO,121561,1409,56,384,1968,46624,648,172650
01-06-2023,1,0-01FD-THIYAGARAYA COLLEGE METRO,146049,1910,0,1536,2496,46320,656,198967
01-06-2023,1,0101-WASHERMANPET,153549,4520,48,456,2752,58900,1088,221313
01-06-2023,1,0103-MANNADI,120728,2600,128,1128,1280,42300,688,168852
01-06-2023,1,0105-HIGH COURT,188080,1600,472,928,2440,77820,1024,272364
01-06-2023,1,0109-GOVERNMENT ESTATE,146806,1260,112,1064,3240,62166,1480,216128
01-06-2023,1,0111-LIC,164225,1200,72,928,2696,40898,896,210915
01-06-2023,1,0113-THOUSAND LIGHT,272374,7250,264,2072,6664,55178,3360,347162
01-06-2023,1,0115-AG-DMS,146487,2100,56,776,2776,29780,880,182855
01-06-2023,1,0117-TEYNAMPET,143303,4100,120,712,2672,26190,1048,178145
01-06-2023,1,0119-NANDANAM,169080,1920,234,624,2520,23130,728,198236
01-06-2023,1,0121-SAIDAPET,86167,1230,80,728,2304,34770,736,126015
01-06-2023,1,0123-LITTLE MOUNT,150954,1400,56,1384,3480,26380,1248,184902
01-06-2023,1,0125-GUINDY,214229,3580,136,3272,8488,127320,4448,361473
01-06-2023,1,0129-NANGANALLUR ROAD,80107,800,128,448,1008,14190,392,97073
01-06-2023,1,0131-MEENAMBAKKAM,156938,1500,56,1720,2280,51540,1032,215066
01-06-2023,1,0133-CHENNAI AIRPORT,266651,8350,376,5320,11680,208710,5944,507031
01-06-2023,2,0201-CENTRAL METRO,297137,9297,288,6120,14448,268964,8264,604518
01-06-2023,2,0203-EGMORE,136867,4420,72,1656,4872,82254,2032,232173
01-06-2023,2,0205-NEHRU PARK,60194,1350,32,344,1400,17800,248,81368
01-06-2023,2,0207-KILPAUK,56765,700,0,544,1008,18060,320,77397
01-06-2023,2,0209-PACHAIAPPA S COLLEGE,54919,500,40,424,888,20450,608,77829
01-06-2023,2,0211-SHENOY NAGAR,63208,200,48,528,1344,22260,480,88068
01-06-2023,2,0213-ANNA NAGAR EAST,122361,1000,72,1112,2336,35318,1088,163287
01-06-2023,2,0215-ANNA NAGAR TOWER,126185,2200,40,808,2080,31580,560,163453
01-06-2023,2,0217-THIRUMANGALAM,395912,3162,392,2936,10544,117110,3448,533504
01-06-2023,2,0219-KOYAMBEDU,284663,5510,120,2400,6688,110710,4392,414483
01-06-2023,2,0221-CMBT,105409,1200,88,1000,4672,120400,3768,236537
01-06-2023,2,0223-ARUMBAKKAM,96210,850,64,1096,2040,39230,488,139978
01-06-2023,2,0225-VADAPALANI,188130,1405,160,2560,7008,115548,4800,319611
01-06-2023,2,0227-ASHOK NAGAR,175669,2001,128,928,4080,62486,2032,247324
01-06-2023,2,0229-EKKATTUTHANGAL,137919,1750,128,1760,4672,47780,1712,195721
01-06-2023,2,0231-ALANDUR,253682,3431,152,2752,6384,84126,4080,354607
01-06-2023,2,0233-St. THOMAS MOUNT,150999,2432,74,1168,4704,43480,1664,204521
02-06-2023,1,0-01ED-WIMCO NAGAR DEPOT,131921,500,56,,1880,45600,616,180573
02-06-2023,1,0-01EF-WIMCO NAGAR METRO,123245,20,144,,3664,46070,1032,174175
02-06-2023,1,0-01F1-THIRUVOTRIYUR METRO,121667,10,24,,1584,36390,192,159867
02-06-2023,1,0-01F3-THIRUVOTRIYUR THERADI METRO,144977,1864,96,,2696,39280,1064,189977
02-06-2023,1,0-01F5-KALADIPET METRO,121228,100,32,,2024,32440,920,156744
02-06-2023,1,0-01F7-TOLLGATE METRO,65093,3810,48,,1000,17740,816,88507
02-06-2023,1,0-01F9-NEW WASHERMENPET METRO,115308,300,24,,1616,30320,576,148144
02-06-2023,1,0-01FB-TONDIARPET METRO,114561,50,24,,1792,37466,440,154333
02-06-2023,1,0-01FD-THIYAGARAYA COLLEGE METRO,129964,3084,88,,2552,41890,688,178266
02-06-2023,1,0101-WASHERMANPET,142283,5036,128,,2352,57820,1288,208907
02-06-2023,1,0103-MANNADI,135393,500,72,,1248,41360,400,178973
02-06-2023,1,0105-HIGH COURT,171320,1000,376,,3120,79614,1184,256614
02-06-2023,1,0109-GOVERNMENT ESTATE,128499,1925,128,,3440,62436,1328,197756
02-06-2023,1,0111-LIC,152692,4800,160,,3008,38842,1232,200734
02-06-2023,1,0113-THOUSAND LIGHT,245285,4892,272,,7400,58632,4048,320529
02-06-2023,1,0115-AG-DMS,150852,500,0,,3312,27580,1280,183524
02-06-2023,1,0117-TEYNAMPET,133779,4200,88,,3272,30130,1536,173005
02-06-2023,1,0119-NANDANAM,158722,1170,168,,2456,26860,1312,190688
02-06-2023,1,0121-SAIDAPET,86572,1100,96,,2432,21600,920,112720
02-06-2023,1,0123-LITTLE MOUNT,139745,1600,40,,3904,16970,1248,163507
02-06-2023,1,0125-GUINDY,185219,2690,248,,10024,135168,4688,338037
02-06-2023,1,0129-NANGANALLUR ROAD,72427,200,80,,944,13854,280,87785
02-06-2023,1,0131-MEENAMBAKKAM,151673,1800,24,,2920,51070,1264,208751
02-06-2023,1,0133-CHENNAI AIRPORT,258258,3027,504,,12992,217640,5968,498389
02-06-2023,2,0201-CENTRAL METRO,259943,9651,288,,15216,282182,5728,573008
02-06-2023,2,0203-EGMORE,138705,4800,0,,5392,83400,2544,234841
02-06-2023,2,0205-NEHRU PARK,54202,0,64,,1112,14190,448,70016
02-06-2023,2,0207-KILPAUK,48566,50,48,,1776,21030,392,71862
02-06-2023,2,0209-PACHAIAPPA S COLLEGE,55273,550,24,,1360,15240,520,72967
02-06-2023,2,0211-SHENOY NAGAR,54494,200,88,,1256,20600,800,77438
02-06-2023,2,0213-ANNA NAGAR EAST,124415,1800,98,,2744,32766,1104,162927
02-06-2023,2,0215-ANNA NAGAR TOWER,93323,700,48,,3296,31970,688,130025
02-06-2023,2,0217-THIRUMANGALAM,347898,4350,336,,10048,105722,3312,471666
02-06-2023,2,0219-KOYAMBEDU,270390,2525,272,,7280,103190,3952,387609
02-06-2023,2,0221-CMBT,91990,550,232,,4368,120680,3320,221140
02-06-2023,2,0223-ARUMBAKKAM,91530,370,32,,1800,35800,728,130260
02-06-2023,2,0225-VADAPALANI,163490,1784,56,,9616,108566,4776,288288
02-06-2023,2,0227-ASHOK NAGAR,153696,1972,184,,4848,64350,2224,227274
02-06-2023,2,0229-EKKATTUTHANGAL,120670,2030,32,,5008,52886,2344,182970
02-06-2023,2,0231-ALANDUR,204916,1150,424,,7920,77558,4768,296736
02-06-2023,2,0233-St. THOMAS MOUNT,129613,1935,112,,4432,45440,1448,182980
03-06-2023,1,0-01ED-WIMCO NAGAR DEPOT,99535,600,0,696,2864,50630,632,154957
03-06-2023,1,0-01EF-WIMCO NAGAR METRO,119097,0,168,736,4264,58750,1224,184239
03-06-2023,1,0-01F1-THIRUVOTRIYUR METRO,122452,0,96,712,2416,37518,648,163842
03-06-2023,1,0-01F3-THIRUVOTRIYUR THERADI METRO,107367,365,136,728,3616,52958,1176,166346
03-06-2023,1,0-01F5-KALADIPET METRO,105130,1500,48,392,2488,34650,712,144920
03-06-2023,1,0-01F7-TOLLGATE METRO,61612,0,0,336,856,19020,480,82304
03-06-2023,1,0-01F9-NEW WASHERMENPET METRO,94013,100,0,560,2432,32080,424,129609
